Adhyaaya # अध्यायः,Paada # पादः,Sutra_num सू. सं.,Sutra_krama सू. क्र. सं,Akaaraadi_krama अकारादि क्र. सं,Kaumudi_krama कौमुदी क्र. सं,Sutra_id पूर्ण सू. सं.,Sutra_type सूत्रलक्षणम्‌,Term संज्ञा,Metarule परिभाषा,Special_case अतिदेशः,Influence अधिकारः,Commentary व्याख्यानम्‌,Sutra_text सूत्रम्‌,PadacCheda पद्च्छेदः,SamasacCheda समासच्छेदः,Anuvrtti pada sutra # अनुवृत्ति-पदम् सूत्र-सङ्ख्या,PadacCheda_notes
2,1,13,21013,482,667,2.1.13,संज्ञा,अव्ययीभावः,,,,2.1.13,आङ् मर्यादाऽभिविध्योः |,आङ् ०/० मर्यादाऽभिविध्योः ७/२,आङ् ०/० मर्यादा-अभिविध्योः ७/२,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21005: अव्ययीभावः | 21011: विभाषा | 21012: पञ्चम्या,
2,1,14,21014,2967,668,2.1.14,संज्ञा,अव्ययीभावः,,,,2.1.14,लक्षणेनाभिप्रती आभिमुख्ये |,लक्षणेन ३/१ अभिप्रती १/२ आभिमुख्ये ७/१,लक्षणेन ३/१ अभि-प्रती १/२ आभिमुख्ये ७/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21005: अव्ययीभावः | 21011: विभाषा,
2,1,15,21015,218,669,2.1.15,संज्ञा,अव्ययीभावः,,,,2.1.15,अनुर्यत्समया |,अनुः १/१ यत्समया ०/०,अनुः १/१ यत्-समया ०/०,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21005: अव्ययीभावः | 21011: विभाषा | 21014: लक्षणेन,
2,1,16,21016,2849,670,2.1.16,संज्ञा,अव्ययीभावः,,,,2.1.16,यस्य चायामः |,यस्य ६/१ च ०/० आयामः १/१,यस्य ६/१ च ०/० आयामः १/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21005: अव्ययीभावः | 21011: विभाषा | 21014: लक्षणेन | 21015: अनुः,
2,1,17,21017,1739,671,2.1.17,संज्ञा,अव्ययीभावः,,,,2.1.17,तिष्ठद्गुप्रभृतीनि च |,तिष्ठद्गुप्रभृतीनि १/३ च ०/०,तिष्ठद्गु-प्रभृतीनि १/३ च ०/०,21003: समासः | 21005: अव्ययीभावः,
2,1,18,21018,2368,672,2.1.18,संज्ञा,अव्ययीभावः,,,,2.1.18,पारे मध्ये षष्ठ्या वा |,पारे १/१ मध्ये १/१ (उभयत्र लुप्तप्रथमान्तनिर्देशः) षष्ठ्या ३/१ वा ०/०,पारे १/१ मध्ये १/१ (उभयत्र लुप्तप्रथमान्तनिर्देशः) षष्ठ्या ३/१ वा ०/०,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21005: अव्ययीभावः | 21011: विभाषा,
2,1,19,21019,3508,673,2.1.19,संज्ञा,अव्ययीभावः,,,,2.1.19,संख्या वंश्येन |,संख्या १/१ वंश्येन ३/१,संख्या १/१ वंश्येन ३/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21005: अव्ययीभावः | 21011: विभाषा,
2,1,20,21020,2104,674,2.1.20,संज्ञा,अव्ययीभावः,,,,2.1.20,नदीभिश्च |,नदीभिः ३/१ च ०/०,नदीभिः ३/१ च ०/०,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21005: अव्ययीभावः | 21011: विभाषा | 21019: संख्या,
2,1,21,21021,260,675,2.1.21,संज्ञा,अव्ययीभावः,,,,2.1.21,अन्यपदार्थे च संज्ञायाम्‌ |,अन्यपदार्थे ७/१ च ०/० संज्ञायाम् ७/१,अन्य-पद-अर्थे ७/१ च ०/० संज्ञायाम् ७/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21005: अव्ययीभावः | 21020: नदीभिः,
2,1,22,21022,1601,684,2.1.22,संज्ञा; अधिकारः,तत्पुरुषः,,,21022-22022,2.1.22,तत्पुरुषः |,तत्पुरुषः १/१,तत्पुरुषः १/१,21002: सुप् | 21003: समासः | 21004: सह सुपा,
2,1,23,21023,1944,685,2.1.23,संज्ञा,तत्पुरुषः,,,,2.1.23,द्विगुश्च |,द्विगुः १/१ च ०/०,द्विगुः १/१ च ०/०,21022: तत्पुरुषः । 21003: समासः |,
2,1,24,21024,1954,686,2.1.24,संज्ञा,तत्पुरुषः,,,,2.1.24,द्वितीया श्रितातीतपतितगतात्यस्तप्राप्तापन्नैः |,द्वितीया १/१ श्रितातीतपतितगतात्यस्तप्राप्तापन्नैः ३/३,द्वितीया १/१ श्रित-अतीत-पतित-गत-अत्यस्त-प्राप्त-आपन्नैः ३/३,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः,
2,1,25,21025,3873,678,2.1.25,संज्ञा,तत्पुरुषः,,,,2.1.25,स्वयं क्तेन |,स्वयम् ०/० क्तेन ३/१,स्वयम् ०/० क्तेन ३/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः,
2,1,26,21026,1247,688,2.1.26,संज्ञा,तत्पुरुषः,,,,2.1.26,खट्वा क्षेपे |,खट्वा १/१ क्षेपे ७/१,खट्वा १/१ क्षेपे ७/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21022: तत्पुरुषः | 21024: द्वितीया | 21025: क्तेन,
